Health Facility,Station,Year,Week,Pred_Cases,confidence_rate,confidence_pct,alert_threshold,action_threshold
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,11,5,0.4553116738796234,45.5,0.7272727272727273,0.7272727272727273
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,12,6,0.48610134720802306,48.6,1.3636363636363635,1.3636363636363635
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,13,6,0.6918052375316619,69.2,2.272727272727273,2.272727272727273
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,14,7,0.34876371622085567,34.9,2.0,2.0
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,15,7,0.4251810610294342,42.5,4.0,4.0
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,16,6,0.6941379706064861,69.4,9.363636363636363,9.363636363636363
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,17,7,0.7954853614171344,79.5,8.545454545454545,8.545454545454545
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,18,6,0.728514814376831,72.9,6.181818181818182,6.181818181818182
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,19,6,0.7280149030685424,72.8,11.727272727272727,11.727272727272727
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,20,4,0.6022839546203613,60.2,4.181818181818182,4.181818181818182
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,21,4,0.7685561736424763,76.9,7.636363636363637,7.636363636363637
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,22,4,0.5788131051593357,57.9,3.4545454545454546,3.4545454545454546
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,23,3,0.5302562713623047,53.0,3.090909090909091,3.090909090909091
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,24,3,0.7490935981273651,74.9,1.2727272727272727,1.2727272727272727
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,25,3,0.5001190662384033,50.0,1.0,1.0
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,26,4,0.6134610851605733,61.3,1.2727272727272727,1.2727272727272727
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,27,4,0.46761857271194457,46.8,1.6363636363636365,1.6363636363636365
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,28,3,0.6750605702400208,67.5,1.8181818181818181,1.8181818181818181
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,29,3,0.5235078692436218,52.4,1.2727272727272727,1.2727272727272727
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,30,3,0.6579989314079284,65.8,1.3636363636363635,1.3636363636363635
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,31,3,0.7059855937957764,70.6,0.7272727272727273,0.7272727272727273
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,32,2,0.5829272449016571,58.3,0.18181818181818182,0.18181818181818182
CHIDIKAMWEDZI FTC,CHIDIKAMWEDZI FTC,2025,33,3,0.6531323939561844,65.3,1.1818181818181819,1.1818181818181819
